far, high, below, narrow, enemy,,
Agent Skill,,,,,,
0,1,1,1,1,,
Blocks Feature Counts Over Time,,,,,,
12,9,39,34,34,52,0.230769231
1,0,0,1,0,1,0.5
3,5,12,11,12,17,0.176470588
1,0,1,1,1,1,0.5
1,0,0,0,1,1,0.5
10,5,34,26,25,41,0.243902439
7,4,33,26,25,39,0.179487179
10,2,17,15,16,25,0.4
1,0,1,0,1,1,0.5
9,9,28,35,27,41,0.219512195
10,12,21,25,25,37,0.27027027
6,3,9,8,9,14,0.428571429
2,1,2,4,3,4,0.5
2,2,2,3,4,6,0.333333333
10,13,28,27,25,44,0.227272727
4,8,16,12,15,24,0.166666667
3,1,4,5,1,6,0.5
2,2,6,5,4,8,0.25
1,0,1,1,1,1,0.5
2,4,6,7,6,12,0.166666667
10,12,37,32,31,51,0.196078431
4,14,18,25,22,32,0.125
1,0,0,1,1,1,0.5
4,8,31,23,29,39,0.102564103
2,0,2,1,1,2,0.5
11,25,56,58,56,85,0.129411765
7,11,39,36,32,51,0.137254902
7,1,7,7,5,10,0.7
3,5,6,9,11,13,0.230769231
1,0,1,1,1,1,0.5
9,6,19,19,18,28,0.321428571
2,0,3,3,2,4,0.5
2,0,5,3,4,5,0.4
2,0,2,2,2,2,0.5
16,21,41,44,45,68,0.235294118
3,6,8,7,8,15,0.2
4,1,7,6,6,9,0.444444444
5,12,20,21,21,33,0.151515152
10,8,23,31,23,36,0.277777778
14,18,48,43,46,68,0.205882353
1,0,0,1,1,1,0.5
3,7,12,13,12,20,0.15
4,6,14,10,14,21,0.19047619
1,0,0,1,0,1,0.5
6,2,11,12,8,16,0.375
6,6,9,10,11,15,0.4
6,3,13,9,13,18,0.333333333
3,1,3,5,5,7,0.428571429
7,5,22,16,19,27,0.259259259
2,0,2,2,2,2,0.5
10,12,38,29,31,53,0.188679245
4,7,13,17,11,21,0.19047619
7,4,19,17,14,26,0.269230769
4,2,6,10,8,11,0.363636364
1,0,1,1,0,1,0.5
6,14,28,29,29,44,0.136363636
4,1,3,6,7,7,0.571428571
